frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
49,1.6333,L_LowerArm,5.71,35.45,29.74,Y
49,1.6333,R_UpperArm,9.09,44.39,35.29,Y
49,1.6333,R_LowerArm,-8.95,-53.35,-44.41,Y
49,1.6333,L_UpperLeg,12.41,0.00,-12.41,Y
49,1.6333,L_LowerLeg,-2.44,0.00,2.44,Y
49,1.6333,R_UpperLeg,-0.94,0.00,0.94,Y
49,1.6333,R_LowerLeg,0.04,0.00,-0.04,Y
50,1.6667,L_UpperArm,-8.33,-70.00,-61.66,Y
50,1.6667,L_LowerArm,4.95,35.13,30.17,Y
50,1.6667,R_UpperArm,7.84,41.47,33.64,Y
50,1.6667,R_LowerArm,-8.24,-52.41,-44.17,Y
50,1.6667,L_UpperLeg,11.86,0.00,-11.86,Y
50,1.6667,L_LowerLeg,-2.69,0.00,2.69,Y
50,1.6667,R_UpperLeg,-0.74,0.00,0.74,Y
50,1.6667,R_LowerLeg,-0.37,0.00,0.37,Y
